date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2015-12-01,10C,"NHS SURREY HEATH CCG",6779,36338.82,0,0
2015-12-01,08Y,"NHS WEST LONDON CCG",10478,61780.72,0,0
2015-12-01,09A,"NHS CENTRAL LONDON (WESTMINSTER) CCG",10491,57125.76,0,0
2015-12-01,08C,"NHS HAMMERSMITH AND FULHAM CCG",10717,51423.5,0,0
2015-12-01,08E,"NHS HARROW CCG",11218,69742.17,0,0
2015-12-01,02G,"NHS WEST LANCASHIRE CCG",11234,50127.01,0,0
2015-12-01,06P,"NHS LUTON CCG",12405,54984.49,0,0
2015-12-01,05D,"NHS EAST STAFFORDSHIRE CCG",12437,50842.87,0,0
2015-12-01,08N,"NHS REDBRIDGE CCG",12473,56943.8,0,0
2015-12-01,07T,"NHS CITY AND HACKNEY CCG",12595,57158.31,0,0
2015-12-01,07L,"NHS BARKING AND DAGENHAM CCG",13083,47529.6,0,0
2015-12-01,04Y,"NHS CANNOCK CHASE CCG",13142,49544.39,0,0
2015-12-01,08W,"NHS WALTHAM FOREST CCG",13241,64258.42,0,0
2015-12-01,07G,"NHS THURROCK CCG",13939,51978.01,0,0
2015-12-01,05V,"NHS STAFFORD AND SURROUNDS CCG",13992,54036.17,0,0
2015-12-01,07P,"NHS BRENT CCG",14053,61181.34,0,0
2015-12-01,01V,"NHS SOUTHPORT AND FORMBY CCG",14472,75267.34,0,0
2015-12-01,02Q,"NHS BASSETLAW CCG",14825,52667.08,0,0
2015-12-01,07Y,"NHS HOUNSLOW CCG",14853,65814.48,0,0
2015-12-01,01F,"NHS HALTON CCG",14978,62964.91,0,0
2015-12-01,99F,"NHS CASTLE POINT AND ROCHFORD CCG",15494,71812.06,0,0
2015-12-01,99G,"NHS SOUTHEND CCG",16097,79263.47,0,0
2015-12-01,05X,"NHS TELFORD AND WREKIN CCG",16542,88132.88,0,0
2015-12-01,08M,"NHS NEWHAM CCG",16710,69928.12,0,0
2015-12-01,07W,"NHS EALING CCG",16812,90527.95,0,0
2015-12-01,08G,"NHS HILLINGDON CCG",16859,71280.16,0,0
2015-12-01,99M,"NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG",17737,89803.52,0,0
2015-12-01,00Q,"NHS BLACKBURN WITH DARWEN CCG",17948,65838.77,0,0
2015-12-01,10L,"NHS ISLE OF WIGHT CCG",18134,111703.92,0,0
2015-12-01,08F,"NHS HAVERING CCG",18228,72918.73,0,0
2015-12-01,03H,"NHS NORTH EAST LINCOLNSHIRE CCG",18322,66721.82,0,0
2015-12-01,01T,"NHS SOUTH SEFTON CCG",19573,88910.29,0,0
2015-12-01,03J,"NHS NORTH KIRKLEES CCG",19636,85534.04,0,0
2015-12-01,00X,"NHS CHORLEY AND SOUTH RIBBLE CCG",20024,98619.85,0,0
2015-12-01,03K,"NHS NORTH LINCOLNSHIRE CCG",20082,82145.05,0,0
2015-12-01,10K,"NHS FAREHAM AND GOSPORT CCG",20084,87490.6,0,0
2015-12-01,04F,"NHS MILTON KEYNES CCG",20270,84072.56,0,0
2015-12-01,05H,"NHS WARWICKSHIRE NORTH CCG",20361,80541.5,0,0
2015-12-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG",20582,82302.37,0,0
2015-12-01,06A,"NHS WOLVERHAMPTON CCG",21095,86629.89,0,0
2015-12-01,10V,"NHS SOUTH EASTERN HAMPSHIRE CCG",21472,103220.22,0,0
2015-12-01,01E,"NHS GREATER PRESTON CCG",21524,88497.25,0,0
2015-12-01,08V,"NHS TOWER HAMLETS CCG",21883,75274.68,0,0
2015-12-01,99E,"NHS BASILDON AND BRENTWOOD CCG",21927,99491.75,0,0
2015-12-01,02E,"NHS WARRINGTON CCG",22089,93259.78,0,0
2015-12-01,00V,"NHS BURY CCG",22159,118706.86,0,0
2015-12-01,02T,"NHS CALDERDALE CCG",22382,93766.87,0,0
2015-12-01,01J,"NHS KNOWSLEY CCG",22689,88653.42,0,0
2015-12-01,03A,"NHS GREATER HUDDERSFIELD CCG",22878,104585.16,0,0
2015-12-01,10R,"NHS PORTSMOUTH CCG",24137,112244.42,0,0
2015-12-01,05Y,"NHS WALSALL CCG",24231,98832.89,0,0
2015-12-01,00N,"NHS SOUTH TYNESIDE CCG",24235,92193.41,0,0
2015-12-01,05G,"NHS NORTH STAFFORDSHIRE CCG",24809,130303.07,0,0
2015-12-01,05R,"NHS SOUTH WARWICKSHIRE CCG",25031,102860.53,0,0
2015-12-01,10J,"NHS NORTH HAMPSHIRE CCG",25598,130151.99,0,0
2015-12-01,02M,"NHS FYLDE AND WYRE CCG",25623,133169.75,0,0
2015-12-01,10X,"NHS SOUTHAMPTON CCG",26300,146611.96,0,0
2015-12-01,02A,"NHS TRAFFORD CCG",27129,181804.93,0,0
2015-12-01,00Y,"NHS OLDHAM CCG",27542,152247.72,0,0
2015-12-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",28131,166106.48,0,0
2015-12-01,05C,"NHS DUDLEY CCG",28307,118661.28,0,0
2015-12-01,07H,"NHS WEST ESSEX CCG",28307,115098.3,0,0
2015-12-01,01X,"NHS ST HELENS CCG",28446,153576.39,0,0
2015-12-01,00R,"NHS BLACKPOOL CCG",28755,142244.83,0,0
2015-12-01,05N,"NHS SHROPSHIRE CCG",29041,143232.47,0,0
2015-12-01,15D,"NHS EAST BERKSHIRE CCG",29253,150781.66,0,0
2015-12-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND CCG",29271,150571.95,0,0
2015-12-01,04C,"NHS LEICESTER CITY CCG",29777,123836.1,0,0
2015-12-01,09D,"NHS BRIGHTON AND HOVE CCG",31395,156125.39,0,0
2015-12-01,01Y,"NHS TAMESIDE AND GLOSSOP CCG",31877,143088.54,0,0
