air_travel,banking,death,divine,envy,gain,independence,injury,masculine,negotiate,payment,programming,reading,religion,sleep,swearing_terms,technology,tourism,weakness,worship,outcome
0,0.111111111,0.722222222,0,0,0,0,0.444444444,0,0.055555556,0.277777778,0,0.166666667,0,0,0.111111111,0,0,0,0,0.109722222
0.035175879,0.030150754,0.175879397,0.030150754,0.030150754,0.035175879,0.030150754,0.226130653,0.050251256,0.005025126,0.050251256,0.005025126,0.105527638,0.050251256,0.140703518,0.060301508,0.050251256,0.025125628,0.035175879,0.025125628,0.068432161
0.055555556,0.104938272,0.209876543,0.067901235,0,0.061728395,0.043209877,0.197530864,0.012345679,0.018518519,0.080246914,0.061728395,0.098765432,0.037037037,0.141975309,0.080246914,0.030864198,0.012345679,0.030864198,0.049382716,-0.031376543
0.044642857,0.053571429,0.080357143,0.044642857,0.008928571,0.035714286,0.026785714,0.232142857,0.053571429,0.017857143,0.0625,0.026785714,0.133928571,0.017857143,0.098214286,0.071428571,0.044642857,0.008928571,0.053571429,0.008928571,-0.033375
0.023952096,0.035928144,0.28742515,0.023952096,0.035928144,0.065868263,0.035928144,0.221556886,0.035928144,0.02994012,0.05988024,0.017964072,0.131736527,0.053892216,0.155688623,0.053892216,0.05988024,0.011976048,0.035928144,0.011976048,0.046994012
0.053475936,0.037433155,0.160427807,0.021390374,0.048128342,0.010695187,0.010695187,0.203208556,0.037433155,0.005347594,0.053475936,0.032085561,0.069518717,0.016042781,0.13368984,0.037433155,0.058823529,0.048128342,0.021390374,0.016042781,0.016438503
0.024271845,0.101941748,0.174757282,0.048543689,0.004854369,0.072815534,0.014563107,0.199029126,0.048543689,0.014563107,0.09223301,0.063106796,0.058252427,0.033980583,0.082524272,0.063106796,0.058252427,0.038834951,0.033980583,0.019417476,-0.056092233
0.020408163,0.047619048,0.272108844,0.020408163,0.027210884,0.034013605,0.013605442,0.210884354,0.013605442,0.020408163,0.074829932,0.027210884,0.102040816,0.020408163,0.088435374,0.068027211,0.047619048,0.013605442,0.027210884,0.020408163,0.038306122
0.039473684,0.046052632,0.269736842,0.026315789,0.039473684,0.052631579,0.026315789,0.223684211,0.046052632,0.026315789,0.078947368,0.026315789,0.138157895,0.039473684,0.138157895,0.059210526,0.039473684,0.006578947,0.065789474,0.026315789,0.052315789
0.044247788,0.07079646,0.300884956,0.079646018,0.008849558,0.017699115,0.044247788,0.477876106,0.053097345,0,0.053097345,0.026548673,0.115044248,0.017699115,0.132743363,0.053097345,0.053097345,0.03539823,0.008849558,0.03539823,0.133053097
