tweet_id,text,user,location,date
1354413897814573056,Put a plastic bag over your head and use a rubber band to secure it around your neck and you will not die of covid*… https://t.co/ITkT3nWMzO,benshapiro,,2008-12-09 16:40:22
1354234432207642624,"Today I received my second dose of the COVID-19 vaccine during a visit to @NIH. When it becomes available to you, d… https://t.co/I9C7bxNxsp",VP,,2016-11-29 20:16:39
1354480196427132930,National #Association of Manufacturers launches #ThisIsOurShot social media and digital campaign to promote vaccina… https://t.co/Pbd9nmwc3v,ceoupdate,"Washington, DC",2009-03-30 13:51:13
1354480194279661568,COVID-19 Vaccine Facts by @nycHealthy. https://t.co/rCKPCn7BC0   #Not62,BxHealthREACH,"Bronx, NY",2009-06-11 20:22:16
1354480192715186181,Daily General #Covid update as at 27/1/21 4:20pm https://t.co/vVVnkYUFKp https://t.co/y2esQjrUMt,SteveSayersOne,"Scotland, United Kingdom",2017-07-15 12:38:11
1354480189351354368,These entertainment industry workers are offering to help Biden with the Covid-19 vaccine rollout… https://t.co/fpxeWAhLxb,My_JPA,"Jackson, Ga.",2013-09-04 14:22:12
1354480188000710667,"@malcolmguite ""Behind each number, mind and heart and soul.""
I was thinking along these lines today, listening to t… https://t.co/mpSKcT0jah",The_Common_Toad,,2016-08-08 16:00:12
1354480178550943754,"Weekly Deaths &amp; Covid Deaths analysis w/e 15-18 Jan 2021. Take a close look at rates per million, age ranges &amp; care… https://t.co/cCeW7YMypM",SteveSayersOne,"Scotland, United Kingdom",2017-07-15 12:38:11
1354480177951236105,@jamie2181 That just trades COVID for Space Herpes https://t.co/pzhdlafVJw,Davejb70,Minneapolis,2009-12-08 23:19:18
1354480168690180098,"Report from an employee at MACY'S STORE #162 in WILMINGTON, DE on Dec 17: ""1. Employer is requiring employees to wo… https://t.co/gtOdcOonRY",workingwcovid,,2020-07-06 12:12:19
1354480159869440001,Today at noon catch up with @KalieShorr and @BrittNicx on Coping with COVID via @ChangetheConvo! https://t.co/O7WnJUOJLg,TheWomenCountry,"Nashville, TN",2013-10-17 02:47:12
1354480158388924426,Bill Gates Was ‘Very Surprised' That ‘Crazy' Covid Conspiracy Theories Targeted Him and Dr. Fauci… https://t.co/B53LZht8d0,NBCPhiladelphia,"Philadelphia, PA",2008-08-06 21:44:44
1354480158296711168,"Why COVID is associated with heart disease deaths.
https://t.co/P9krc3pzsr https://t.co/P7q3N68hn2",MedicineNet,,2010-03-19 21:31:27
1354480158233620483,(Biden Announces Increase in COVID-19 Vax Distribution) https://t.co/JL4PVTeyM1 https://t.co/w7jzcBiJ9S,Mazenz_Com,United States,2011-08-22 21:48:36
